Ride_ID,Date,Time,City,Pickup_Location,Drop_Location,Vehicle_Type,Driver_Name,Customer_ID,Ride_Distance_KM,Fare_Amount,Payment_Mode,Ride_Status,Driver_Rating,Customer_Rating,Trip_Duration_Min,Surge_Multiplier,Weather,Fuel_Cost,Profit
R00001,2025-11-24,03:01,Delhi,Bus Stand,Airport,Mini,Driver_76,C7912,22.8,283.84,UPI,Completed,3.4,4.0,13,2.0,Sunny,55.14,228.7
R00002,2025-11-29,22:34,Delhi,Railway Station,Airport,Bike,Driver_44,C5552,13.7,198.54,UPI,Completed,4.5,3.2,58,1.0,Rainy,38.83,159.71
R00003,2025-06-26,19:16,Hyderabad,Airport,Hospital,SUV,Driver_81,C6925,24.6,425.51,Card,Completed,3.1,4.3,47,1.0,Sunny,88.77,336.74
R00004,2025-02-21,12:17,Bangalore,Railway Station,Airport,SUV,Driver_90,C2169,14.7,269.61,Card,Completed,4.1,3.5,69,1.5,Rainy,36.57,233.04
R00005,2025-11-24,22:35,Delhi,Railway Station,Residential Area,SUV,Driver_52,C5386,8.1,107.27,UPI,Completed,4.9,4.8,50,1.0,Cloudy,34.87,72.4
R00006,2025-09-13,12:56,Mumbai,Bus Stand,Hospital,SUV,Driver_96,C8019,27.6,402.64,Card,Completed,3.4,5.0,75,1.5,Sunny,77.13,325.51
R00007,2025-01-25,03:09,Delhi,IT Park,University,Bike,Driver_68,C5119,19.6,351.25,Card,Completed,3.0,4.4,78,1.5,Cloudy,64.02,287.23
R00008,2025-06-24,03:18,Chennai,Mall,Hospital,Sedan,Driver_65,C2743,14.2,206.43,Card,Completed,4.3,4.2,29,1.5,Sunny,69.03,137.4
R00009,2025-10-04,16:58,Bangalore,Mall,Office Hub,Mini,Driver_31,C2290,2.0,26.48,UPI,Completed,4.6,5.0,78,1.0,Sunny,4.12,22.36
R00010,2025-12-04,15:35,Mumbai,City Center,Airport,Sedan,Driver_92,C6107,6.6,100.83,Cash,Cancelled,4.3,3.9,76,1.5,Sunny,25.21,75.62
R00011,2025-05-07,07:04,Mumbai,Airport,Residential Area,Mini,Driver_30,C2104,11.5,182.66,UPI,Completed,3.1,3.5,72,1.0,Cloudy,30.94,151.72
R00012,2025-03-09,23:59,Hyderabad,IT Park,Office Hub,Mini,Driver_13,C8062,26.7,420.85,Cash,Completed,3.9,4.5,22,1.0,Rainy,72.86,347.99
R00013,2025-06-23,03:15,Mumbai,Mall,University,Sedan,Driver_10,C8260,7.4,113.69,Card,Completed,4.3,4.1,11,1.0,Sunny,17.91,95.78
R00014,2025-03-27,13:31,Mumbai,IT Park,Residential Area,Bike,Driver_34,C8454,15.5,289.02,Cash,Completed,4.9,5.0,81,2.0,Cloudy,72.96,216.06
R00015,2025-09-07,04:12,Pune,Airport,Airport,SUV,Driver_8,C1821,10.3,202.78,Card,Completed,4.8,4.1,17,2.0,Sunny,38.5,164.28
R00016,2025-04-06,02:38,Pune,Railway Station,Hospital,Mini,Driver_80,C2343,3.9,72.61,Cash,Completed,4.1,3.6,43,1.0,Cloudy,12.52,60.09
R00017,2025-06-10,07:16,Bangalore,Airport,Residential Area,Bike,Driver_80,C2638,13.1,218.99,UPI,Completed,4.0,3.3,54,1.0,Sunny,37.99,181.0
R00018,2025-07-09,09:10,Chennai,City Center,Residential Area,SUV,Driver_85,C2697,14.3,220.68,UPI,Completed,4.8,4.5,29,1.5,Rainy,41.58,179.1
R00019,2025-11-06,06:45,Pune,IT Park,Market,Mini,Driver_12,C7939,11.6,195.75,Cash,Completed,3.7,3.3,43,1.0,Cloudy,52.88,142.87
R00020,2025-08-15,17:45,Chennai,Railway Station,Hospital,Mini,Driver_48,C3426,14.0,141.35,Cash,Completed,3.6,4.8,15,1.5,Sunny,31.16,110.19
R00021,2025-12-16,07:42,Hyderabad,City Center,Airport,Sedan,Driver_31,C3662,4.9,87.23,UPI,Completed,3.0,4.5,52,1.5,Cloudy,22.8,64.43
R00022,2025-05-08,08:10,Hyderabad,Railway Station,Office Hub,Bike,Driver_45,C6000,24.0,265.94,UPI,Completed,4.3,3.8,45,1.0,Rainy,110.8,155.14
R00023,2025-06-29,20:32,Delhi,Airport,Market,Sedan,Driver_75,C5349,13.2,261.51,UPI,Completed,3.9,4.5,50,1.5,Cloudy,47.63,213.88
R00024,2025-09-19,03:24,Hyderabad,Airport,Hospital,Sedan,Driver_47,C8066,27.2,323.7,UPI,Cancelled,4.8,4.2,25,2.0,Rainy,58.02,265.68
R00025,2025-09-17,09:42,Mumbai,Railway Station,University,Bike,Driver_87,C3851,13.4,187.92,Card,Completed,3.8,4.7,48,1.5,Sunny,38.69,149.23
R00026,2025-08-09,18:38,Mumbai,City Center,University,Sedan,Driver_85,C2389,20.3,297.39,Cash,Completed,4.3,3.7,40,2.0,Rainy,67.53,229.86
R00027,2025-04-26,06:09,Delhi,IT Park,University,Sedan,Driver_92,C7291,2.7,33.61,Cash,Completed,3.3,4.4,23,1.5,Sunny,9.25,24.36
R00028,2025-04-01,22:33,Delhi,IT Park,Office Hub,Bike,Driver_86,C9702,15.0,233.61,Card,Completed,4.9,4.8,88,2.0,Cloudy,71.29,162.32
R00029,2025-08-07,17:28,Bangalore,Railway Station,Airport,SUV,Driver_99,C9540,27.1,472.53,Cash,Completed,3.5,3.2,46,1.0,Rainy,92.79,379.74
R00030,2025-06-21,10:57,Chennai,Railway Station,Airport,Sedan,Driver_9,C7797,17.1,194.66,Cash,Completed,3.9,3.1,63,1.5,Cloudy,46.06,148.6
R00031,2025-12-23,00:54,Bangalore,Mall,University,Bike,Driver_69,C9947,26.7,420.71,Card,Completed,4.0,3.5,72,1.0,Rainy,91.61,329.1
R00032,2025-06-22,21:43,Mumbai,City Center,Hospital,Mini,Driver_51,C1444,24.3,418.98,UPI,Completed,3.3,3.9,16,1.5,Rainy,109.87,309.11
R00033,2025-06-17,06:29,Hyderabad,Mall,Residential Area,Bike,Driver_3,C9837,11.2,197.26,UPI,Cancelled,3.7,4.3,15,1.0,Sunny,35.14,162.12
R00034,2025-04-13,00:39,Pune,Railway Station,University,SUV,Driver_99,C7043,6.3,70.95,UPI,Completed,4.9,4.4,30,1.5,Sunny,25.25,45.7
R00035,2025-10-24,00:59,Hyderabad,Bus Stand,Office Hub,Mini,Driver_76,C4978,10.7,179.48,UPI,Completed,3.6,4.4,25,2.0,Sunny,52.16,127.32
R00036,2025-06-27,17:27,Delhi,IT Park,University,Mini,Driver_56,C6934,20.5,219.14,Card,Completed,3.9,3.3,32,2.0,Cloudy,80.82,138.32
R00037,2025-11-30,08:39,Hyderabad,Bus Stand,Hospital,SUV,Driver_42,C5022,24.6,378.39,UPI,Completed,3.9,4.5,82,2.0,Cloudy,84.88,293.51
R00038,2025-07-14,10:01,Bangalore,Mall,Market,SUV,Driver_77,C5526,15.8,209.35,Card,Completed,4.9,3.2,62,1.5,Cloudy,54.71,154.64
R00039,2025-05-04,22:30,Delhi,Mall,Office Hub,Bike,Driver_89,C4986,20.1,299.66,Cash,Completed,3.7,4.1,54,1.5,Cloudy,88.01,211.65
R00040,2025-10-09,10:22,Delhi,Bus Stand,Office Hub,SUV,Driver_16,C9779,21.7,275.79,Card,Completed,3.4,4.0,85,2.0,Cloudy,59.77,216.02
R00041,2025-05-25,03:53,Delhi,Bus Stand,Hospital,Sedan,Driver_36,C1745,7.4,90.83,UPI,Completed,4.4,3.3,72,1.0,Sunny,18.78,72.05
R00042,2025-10-21,09:30,Bangalore,IT Park,Residential Area,Mini,Driver_52,C9056,15.4,206.47,UPI,Completed,4.4,3.3,82,1.5,Sunny,75.41,131.06
R00043,2025-05-08,03:35,Mumbai,City Center,University,Bike,Driver_57,C5871,23.4,375.88,Card,Cancelled,3.6,4.2,88,2.0,Sunny,102.31,273.57
R00044,2025-04-17,20:13,Pune,Airport,Office Hub,Mini,Driver_53,C8381,9.4,101.63,Card,Completed,3.6,3.5,46,2.0,Rainy,25.56,76.07
R00045,2025-02-06,21:14,Chennai,Railway Station,University,Mini,Driver_70,C4683,27.9,498.8,Card,Completed,3.5,3.3,17,1.0,Rainy,108.12,390.68
R00046,2025-11-01,23:52,Chennai,Mall,Airport,Bike,Driver_35,C9199,17.9,230.66,Card,Completed,3.2,3.1,65,2.0,Rainy,42.48,188.18
R00047,2025-11-06,08:01,Pune,City Center,Residential Area,SUV,Driver_74,C1659,4.6,90.25,UPI,Completed,4.3,4.8,33,2.0,Rainy,20.74,69.51
R00048,2025-11-22,15:05,Delhi,Railway Station,Market,Bike,Driver_89,C9117,15.2,214.07,Cash,Completed,3.8,4.5,14,1.5,Sunny,45.04,169.03
R00049,2025-06-11,08:20,Delhi,Bus Stand,Hospital,Bike,Driver_53,C1888,5.2,92.17,UPI,Completed,4.2,4.0,66,1.0,Sunny,23.89,68.28
R00050,2025-05-17,17:08,Delhi,Airport,Airport,Sedan,Driver_91,C3594,28.0,402.67,Cash,Completed,4.1,3.2,24,1.5,Sunny,114.65,288.02
R00051,2025-11-28,04:31,Hyderabad,IT Park,University,Sedan,Driver_59,C3369,28.1,363.01,Cash,Completed,4.2,4.5,27,1.0,Rainy,115.67,247.34
R00052,2025-08-01,10:59,Chennai,Mall,Hospital,Bike,Driver_20,C8316,24.1,305.39,Card,Completed,3.7,4.5,58,1.5,Rainy,48.39,257.0
R00053,2025-04-07,22:15,Delhi,Mall,Airport,Bike,Driver_91,C7246,18.0,222.04,Cash,Cancelled,4.6,4.3,29,1.5,Sunny,77.88,144.16
R00054,2025-03-06,16:37,Delhi,City Center,University,Mini,Driver_93,C3361,11.3,124.34,Cash,Completed,4.9,3.1,43,1.5,Cloudy,51.25,73.09
R00055,2025-12-21,12:41,Pune,IT Park,Market,Bike,Driver_70,C1588,4.2,55.8,Card,Completed,4.3,4.8,39,2.0,Sunny,16.9,38.9
R00056,2025-08-11,03:48,Chennai,Mall,Residential Area,Mini,Driver_42,C1919,19.7,368.9,Cash,Completed,3.9,3.5,62,2.0,Cloudy,65.62,303.28
R00057,2025-04-03,05:11,Mumbai,IT Park,Hospital,Sedan,Driver_30,C8555,4.2,78.58,Card,Completed,3.5,3.0,69,1.5,Cloudy,16.21,62.37
R00058,2025-10-07,05:04,Chennai,IT Park,Airport,SUV,Driver_59,C5949,14.4,193.76,UPI,Cancelled,4.7,3.2,58,2.0,Rainy,54.18,139.58
R00059,2025-10-22,09:44,Bangalore,Airport,Hospital,Mini,Driver_78,C9138,10.3,203.73,Cash,Completed,3.5,4.6,38,2.0,Sunny,40.94,162.79
